"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка валидации формы регистрации","43093","Registration form | Validate field [age] with [99] | [error]","tests","Wed May 14 16:42:33 GMT 2025","failed","Wed May 14 16:43:16 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","25304","Registration form | Validate field [first_name] with [valid_with_hyphen] | [success]","tests","Wed May 14 16:41:03 GMT 2025","passed","Wed May 14 16:41:28 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","28603","Registration form | Validate field [email] with [too_long] | [error]","tests","Wed May 14 16:43:02 GMT 2025","failed","Wed May 14 16:43:30 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","24355","Registration form | Validate field [age] with [99] | [error]","tests","Wed May 14 16:42:05 GMT 2025","failed","Wed May 14 16:42:30 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","25748","Registration form | Validate field [email] with [domain without at] | [error]","tests","Wed May 14 16:43:15 GMT 2025","passed","Wed May 14 16:43:40 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","34278","Registration form | Validate field [age] with [non_numeric] | [error]","tests","Wed May 14 16:42:23 GMT 2025","passed","Wed May 14 16:42:58 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","24548","Registration form | Validate field [email] with [name end-] | [error]","tests","Wed May 14 16:43:35 GMT 2025","failed","Wed May 14 16:44:00 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","35371","Registration form | Validate field [first_name] with [script] | [success]","tests","Wed May 14 16:41:09 GMT 2025","passed","Wed May 14 16:41:44 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","25871","Registration form | Validate field [first_name] with [space_last] | [success]","tests","Wed May 14 16:40:31 GMT 2025","passed","Wed May 14 16:40:57 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","35909","Registration form | Validate field [email] with [valid_email] | [success]","tests","Wed May 14 16:42:37 GMT 2025","passed","Wed May 14 16:43:13 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","20036","Registration form | Validate field [first_name] with [two_spaces] | [error]","tests","Wed May 14 16:40:26 GMT 2025","failed","Wed May 14 16:40:46 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","21596","Registration form | Validate field [first_name] with [sql] | [success]","tests","Wed May 14 16:41:18 GMT 2025","passed","Wed May 14 16:41:40 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","41282","Registration form | Validate field [age] with [100] | [error]","tests","Wed May 14 16:42:19 GMT 2025","failed","Wed May 14 16:43:01 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","35177","Registration form | Validate field [email] with [valid_email] | [success]","tests","Wed May 14 16:43:40 GMT 2025","passed","Wed May 14 16:44:15 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","33831","Registration form | Validate field [age] with [decimal] | [error]","tests","Wed May 14 16:43:27 GMT 2025","failed","Wed May 14 16:44:01 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","23962","Registration form | Validate field [email] with [name end-] | [error]","tests","Wed May 14 16:44:46 GMT 2025","failed","Wed May 14 16:45:10 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","28465","Registration form | Validate field [email] with [domain -first] | [error]","tests","Wed May 14 16:43:19 GMT 2025","failed","Wed May 14 16:43:48 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","43734","Registration form | Validate field [first_name] with [space_first] | [success]","tests","Wed May 14 16:39:37 GMT 2025","passed","Wed May 14 16:40:21 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","25790","Registration form | Validate field [age] with [1] | [success]","tests","Wed May 14 16:41:27 GMT 2025","passed","Wed May 14 16:41:53 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","42723","Registration form | Validate field [first_name] with [max_symbols_256] | [success]","tests","Wed May 14 16:39:38 GMT 2025","passed","Wed May 14 16:40:21 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","22597","Registration form | Validate field [email] with [domain without dot] | [error]","tests","Wed May 14 16:43:07 GMT 2025","passed","Wed May 14 16:43:29 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","38445","Registration form | Validate field [first_name] with [empty] | [error]","tests","Wed May 14 16:39:39 GMT 2025","passed","Wed May 14 16:40:17 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","33195","Registration form | Validate field [age] with [empty] | [error]","tests","Wed May 14 16:41:05 GMT 2025","passed","Wed May 14 16:41:39 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","40100","Registration form | Validate field [first_name] with [space_middle] | [success]","tests","Wed May 14 16:39:40 GMT 2025","passed","Wed May 14 16:40:20 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","32262","Registration form | Validate field [age] with [1] | [success]","tests","Wed May 14 16:41:46 GMT 2025","passed","Wed May 14 16:42:18 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","26707","Registration form | Validate field [first_name] with [special_symbols] | [error]","tests","Wed May 14 16:40:30 GMT 2025","failed","Wed May 14 16:40:57 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","20145","Registration form | Validate field [age] with [too_young] | [error]","tests","Wed May 14 16:42:13 GMT 2025","failed","Wed May 14 16:42:33 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","25325","Registration form | Validate field [age] with [-1] | [error]","tests","Wed May 14 16:41:46 GMT 2025","passed","Wed May 14 16:42:11 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","36465","Registration form | Validate field [age] with [too_young] | [error]","tests","Wed May 14 16:42:58 GMT 2025","failed","Wed May 14 16:43:35 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","32138","Registration form | Validate field [first_name] with [empty] | [error]","tests","Wed May 14 16:39:53 GMT 2025","passed","Wed May 14 16:40:25 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","33222","Registration form | Validate field [first_name] with [special_symbols] | [error]","tests","Wed May 14 16:40:26 GMT 2025","failed","Wed May 14 16:41:00 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","27657","Registration form | Validate field [email] with [script] | [error]","tests","Wed May 14 16:43:30 GMT 2025","passed","Wed May 14 16:43:58 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","20266","Registration form | Validate field [age] with [empty] | [error]","tests","Wed May 14 16:41:05 GMT 2025","passed","Wed May 14 16:41:25 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","23595","Registration form | Validate field [age] with [valid_age] | [success]","tests","Wed May 14 16:42:09 GMT 2025","passed","Wed May 14 16:42:33 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","27445","Registration form | Validate field [email] with [domain without at] | [error]","tests","Wed May 14 16:44:17 GMT 2025","passed","Wed May 14 16:44:44 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","17528","Registration form | Validate field [age] with [negative] | [error]","tests","Wed May 14 16:41:26 GMT 2025","passed","Wed May 14 16:41:44 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","28468","Registration form | Validate field [age] with [decimal] | [error]","tests","Wed May 14 16:42:33 GMT 2025","failed","Wed May 14 16:43:01 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","37624","Registration form | Validate field [first_name] with [max_symbols_256] | [success]","tests","Wed May 14 16:39:53 GMT 2025","passed","Wed May 14 16:40:31 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","37100","Registration form | Validate field [first_name] with [space_middle] | [success]","tests","Wed May 14 16:39:53 GMT 2025","passed","Wed May 14 16:40:30 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","36334","Registration form | Validate field [first_name] with [space_first] | [success]","tests","Wed May 14 16:39:53 GMT 2025","passed","Wed May 14 16:40:29 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","24841","Registration form | Validate field [first_name] with [script] | [success]","tests","Wed May 14 16:40:51 GMT 2025","passed","Wed May 14 16:41:16 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","29174","Registration form | Validate field [email] with [cyrillic] | [success]","tests","Wed May 14 16:43:41 GMT 2025","failed","Wed May 14 16:44:10 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","29654","Registration form | Validate field [age] with [zero] | [error]","tests","Wed May 14 16:41:29 GMT 2025","failed","Wed May 14 16:41:59 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","37845","Registration form | Validate field [email] with [domain -first] | [error]","tests","Wed May 14 16:44:18 GMT 2025","failed","Wed May 14 16:44:56 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","25532","Registration form | Validate field [age] with [non_numeric] | [error]","tests","Wed May 14 16:41:42 GMT 2025","passed","Wed May 14 16:42:07 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","36638","Registration form | Validate field [age] with [zero] | [error]","tests","Wed May 14 16:41:40 GMT 2025","failed","Wed May 14 16:42:17 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","41161","Registration form | Validate field [first_name] with [two_spaces] | [error]","tests","Wed May 14 16:40:19 GMT 2025","failed","Wed May 14 16:41:00 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","36070","Registration form | Validate field [first_name] with [valid_with_apostrophe] | [success]","tests","Wed May 14 16:41:06 GMT 2025","passed","Wed May 14 16:41:42 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","22754","Registration form | Validate field [age] with [too_old] | [error]","tests","Wed May 14 16:42:26 GMT 2025","failed","Wed May 14 16:42:49 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","38326","Registration form | Validate field [email] with [too_long] | [error]","tests","Wed May 14 16:44:21 GMT 2025","failed","Wed May 14 16:44:59 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","29607","Registration form | Validate field [email] with [domain without dot] | [error]","tests","Wed May 14 16:44:11 GMT 2025","passed","Wed May 14 16:44:40 GMT 2025","TestRegistrationForm","test_web_tables","",""
"Проверка валидации формы регистрации","27952","Registration form | Validate field [age] with [100] | [error]","tests","Wed May 14 16:41:54 GMT 2025","failed","Wed May 14 16:42:22 GMT 2025","TestRegistrationForm","test_web_tables","",""
